pca_1,pca_2
22010.033,1987.7601
-30082.98,5182.627
-29339.014,14830.337
-23650.871,9023.192
-29948.852,6389.27
-11581.347,-10119.687
-14818.395,-7667.003
-22010.672,-1183.9476
-23981.246,-1257.3652
-27795.941,13874.938
-28435.633,3746.4888
-23846.678,1397.8462
-31058.633,7139.4487
-25514.43,-693.11743
-31000.648,10325.452
-16457.531,-4785.7373
-24981.896,9787.225
-27083.346,5025.659
-19122.598,-4563.4453
17145.703,30878.139
15992.536,30780.81
18508.232,31479.49
19151.31,31220.9
19968.139,30704.541
-27508.646,1165.8917
-24953.164,-3.6879883
-19400.715,12867.657
-21073.29,-3528.2803
-28746.078,15838.99
-25445.363,7924.336
7784.9756,-14592.278
-4202.8833,-12462.861
14036.921,-15751.808
13360.12,-17388.254
29112.602,13980.021
26354.248,-2154.5613
28454.47,6121.005
-26355.705,1529.7571
-12333.112,-9120.61
-7091.824,-1249.1978
-23305.744,-3807.5615
-14802.16,-8181.323
895.1476,-13698.109
-10967.872,-9063.004
-13626.585,-6655.6235
-23092.531,-1124.331
-20883.684,-4255.7783
-27589.26,7178.1504
-15063.818,1253.3606
3101.701,-13429.899
-11213.724,-8602.618
-3875.687,-13393.228
-13297.842,-10859.31
-24018.8,15505.512
-23629.76,8013.6416
1418.0396,13382.258
-20040.246,10200.198
-11703.8125,11367.648
-23342.95,18770.639
-28700.812,13966.345
-13346.632,18476.482
-1751.2413,-1084.8802
-4319.4336,3067.756
-23385.197,8647.296
-3561.0977,15670.8
-16344.559,3232.0542
6251.1416,18364.076
-16017.894,15341.112
-20062.832,-4077.3613
-26018.809,3801.713
-23946.521,2016.5867
-23947.676,711.9553
-26752.703,-1035.0364
-29362.203,1740.2653
-17805.105,-7100.255
-25267.945,-972.9105
31560.996,-4534.997
34934.902,-1859.3115
34045.51,-11249.498
33097.953,-10195.675
33352.84,-7826.171
34904.63,-10302.916
-27317.156,5927.17
-27402.816,1047.7378
-28270.6,6504.631
-28398.936,13153.442
-31463.09,8464.215
-28280.117,2337.9868
-25846.252,1342.7839
798.34216,-13262.613
-2330.468,-12444.479
1929.3866,-12876.839
5750.4404,-14203.509
-495.90814,-14893.75
2317.3757,-12731.758
30898.26,-2628.712
26048.812,12166.931
29553.383,13191.552
-17176.58,-5688.1855
-26488.043,-232.59167
-26820.053,1295.9712
-30120.49,5625.941
-24509.814,1706.2557
-25644.135,1935.5981
-28031.307,3802.5557
-30448.217,10914.912
28526.748,-13347.866
27408.78,-5479.8955
-16556.47,-7408.0674
-18785.725,-6801.0513
-30142.371,7829.9937
-24241.293,-2034.2999
-14556.883,-8140.4087
-24072.365,1498.4204
-18658.648,-6592.2495
-17835.768,-4762.7734
-10830.445,-8260.063
-10156.987,-10843.862
-21536.316,-234.54651
-28694.115,3589.7366
-31336.463,8971.211
-29299.816,7155.6104
-27142.799,3732.193
-26599.895,4894.907
-31018.83,9789.016
-16320.924,11045.037
-4847.0967,-13422.9375
-11238.375,-10445.288
-14272.136,-7595.546
-15340.191,-5447.663
-12892.812,-8580.465
-19952.637,-6556.9272
-1544.79,-15044.422
-10833.751,-10933.931
8025.792,-15667.931
-12092.248,-10870.112
7023.8145,-14572.954
12111.19,-13909.709
-24725.79,4288.384
-28919.656,2806.9312
-12568.799,-6066.9976
-7209.89,6793.7373
-17466.977,-5915.1963
-23100.406,388.56897
2759.2803,-14423.04
-6802.1235,-11971.963
2301.828,-14952.203
2306.5396,-13977.329
-17803.076,-6767.5703
-10297.474,-8291.74
-10997.884,-6225.0244
1687.5244,-15766.03
24609.426,-14129.426
9210.896,-16670.816
17424.04,-7383.311
11149.442,-11692.677
3261.9373,-15323.81
27571.734,-10538.475
12023.51,-16951.832
956.37305,-13148.646
